Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C9",0402,3,10u,
"C10, C11, C19, C8",0402,4,4.7u,
C12,0402,1,8.2n,
"C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C6",0402,11,100n,
"C29, C30",0402,2,15pF,C1555
C3,0402,1,4.7u,
C4,0402,1,10u,
C5,0402,1,2.2u,
C7,0402,1,30pF,
D1,0805,1,GREEN,C2297
J2,MICRO_SD_MOLEX_503398-1892,1,Micro_SD_Card_Det,
J3,TE_5-1775444-8,1,5-1775444-8,
J5,BM02BSRSSTBLFSN,1,BM02B-ACHSS-GAN-TF,
L1,L_Coilcraft_XxL4020,1,18.1uH,
L2,L_Murata_DFE201610P,1,3.3u,
"R1, R6",0402,2,12k 1%,
R11,0603,1,100K,
R12,0402,1,33,
"R13, R3, R4",0402,3,10K,
"R2, R8",0402,2,220R,
R5,0402,1,1k,
R7,0402,1,470R,
"U11, U6",USON-10_2.5x1.0mm_P0.5mm,2,TPD4EUSB30,
"U12, U5",SOT-23-5,2,RT9742GGJ5,
U3,RPI-CM4,1,RPi_4,
U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A-QFN60,
U7,OPTO-SMD_IRM-V838M3-C-TR1,1,IRM-V838M3-C/TR1,
U9,Texas_S-PVSON-N10_ThermalVias,1,TPS61232DRC,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C9002
