Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-143.31,90.0,top
C10,104.0,-144.92,270.0,top
C11,105.0,-144.92,270.0,top
C12,111.36,-144.63,180.0,top
C14,120.25,-143.33,90.0,top
C17,99.8,-137.47,90.0,top
C19,93.12,-144.3,180.0,top
C20,100.2,-148.5,270.0,top
C21,102.6,-136.1,0.0,top
C22,106.4,-141.8,0.0,top
C23,106.42,-140.7,0.0,top
C24,99.0,-148.48,270.0,top
C25,93.13,-146.6,180.0,top
C26,97.68,-137.9,180.0,top
C27,102.1,-148.48,270.0,top
C28,94.8,-139.02,90.0,top
C29,92.15,-138.3,0.0,top
C3,111.8,-141.92,270.0,top
C30,90.18,-143.2,0.0,top
C4,84.375,-110.8,180.0,bottom
C5,126.75,-140.3,180.0,top
C6,104.645,-80.605,270.0,top
C7,105.675,-80.605,270.0,top
C8,104.38,-147.55,180.0,top
C9,119.15,-143.32,90.0,top
D1,93.3375,-148.9,0.0,top
J1,92.9225,-74.74,0.0,top
J2,89.89,-118.7,270.0,bottom
J3,131.05,-131.45,180.0,bottom
J5,125.312,-147.1,270.0,bottom
L1,114.53,-137.53,180.0,top
L2,106.6,-144.725,270.0,top
R1,92.375,-127.3,90.0,bottom
R11,110.66,-137.91,0.0,top
R12,106.66,-147.65,180.0,top
R13,104.3,-139.5,270.0,top
R2,128.71,-140.3,180.0,top
R3,130.7,-140.3,0.0,top
R4,90.21,-146.3,180.0,top
R5,93.1,-143.1,180.0,top
R6,137.635,-84.575,180.0,top
R7,96.31,-149.0,0.0,top
R8,118.55,-146.6,0.0,top
U1,126.660001,-75.339582,0.0,top
U11,94.410967,-84.5325,180.0,top
U12,137.175,-82.0125,90.0,top
U2,108.6,-76.125,0.0,top
U3,135.7,-93.26,180.0,top
U4,99.4,-142.75,0.0,top
U5,89.625,-127.725,0.0,bottom
U6,91.123467,-84.53,180.0,top
U7,128.9,-142.195,0.0,top
U9,114.74,-142.885,270.0,top
Y1,91.5,-140.85,0.0,top
